"time","co2"
10.5839999999998,320.25
10.6669999999999,321.31
10.75,322.84
10.8339999999998,324
10.9169999999999,324.42
11,325.64
11.0839999999998,326.66
11.1669999999999,327.34
11.25,326.76
11.3339999999998,325.88
11.4169999999999,323.67
11.5,322.38
11.5839999999998,321.78
11.6669999999999,322.85
11.75,324.11
11.8339999999998,325.03
11.9169999999999,325.99
12,326.87
12.0839999999998,328.13
12.1669999999999,328.07
12.25,327.66
12.3339999999998,326.35
12.4169999999999,324.69
12.5,323.1
12.5839999999998,323.16
12.6669999999999,323.98
12.75,325.13
12.8339999999998,326.17
12.9169999999999,326.68
13,327.18
13.0839999999998,327.78
13.1669999999999,328.92
13.25,328.57
13.3339999999998,327.34
13.4169999999999,325.46
13.5,323.36
13.5839999999998,323.57
13.6669999999999,324.8
13.75,326.01
13.8339999999998,326.77
13.9169999999999,327.63
14,327.75
14.0839999999998,329.72
14.1669999999999,330.07
14.25,329.09
14.3339999999998,328.05
14.4169999999999,326.32
14.5,324.93
14.5839999999998,325.06
14.6669999999999,326.5
14.75,327.55
14.8339999999998,328.54
14.9169999999999,329.56
15,330.3
15.0839999999998,331.5
15.1669999999999,332.48
15.25,332.07
15.3339999999998,330.87
15.4169999999999,329.31
15.5,327.51
15.5839999999998,327.18
15.6669999999999,328.16
15.75,328.64
15.8339999999998,329.35
15.9169999999999,330.71
16,331.48
16.0839999999998,332.65
16.1669999999999,333.21
16.25,332.16
16.3339999999998,331.07
16.4169999999999,329.12
16.5,327.32
16.5839999999998,327.28
16.6669999999999,328.3
16.75,329.58
16.8339999999998,330.73
16.9169999999999,331.46
17,331.9
17.0839999999998,333.17
17.1669999999999,333.94
17.25,333.45
17.3339999999998,331.98
17.4169999999999,329.95
17.5,328.5
17.5839999999998,328.35
17.6669999999999,329.37
17.8339999999998,331.59
17.9169999999999,332.75
18,333.52
18.0839999999998,334.64
18.1669999999999,334.77
18.25,334
18.3339999999998,333.06
18.4169999999999,330.68
18.5,328.95
18.5839999999998,328.75
18.6669999999999,330.15
18.75,331.62
18.8339999999998,332.66
18.9169999999999,333.13
19,334.95
19.0839999999998,336.13
19.1669999999999,336.94
19.25,336.16
19.3339999999998,334.88
19.4169999999999,332.56
19.5,331.29
19.5839999999998,331.27
19.6669999999999,332.41
19.75,333.6
19.8339999999998,334.95
19.9169999999999,335.25
20,336.66
20.0839999999998,337.69
20.1669999999999,338.03
20.25,338.01
20.3339999999998,336.4
20.4169999999999,334.41
20.5,332.37
20.5839999999998,332.41
20.6669999999999,333.75
20.75,334.9
20.8339999999998,336.14
20.9169999999999,336.69
21,338.27
21.0839999999998,338.96
21.1669999999999,339.21
21.25,339.26
21.3339999999998,337.54
21.4169999999999,335.75
21.5,333.98
21.5839999999998,334.19
21.6669999999999,335.31
21.75,336.81
21.8339999999998,337.9
21.9169999999999,338.34
22,340.01
22.0839999999998,340.93
22.1669999999999,341.48
22.25,341.33
22.3339999999998,339.4
22.4169999999999,337.7
22.5,336.19
22.5839999999998,336.15
22.6669999999999,337.27
22.75,338.32
22.8339999999998,339.29
22.9169999999999,340.55
23,341.61
23.0839999999998,342.54
23.1669999999999,343.04
23.25,342.54
23.3339999999998,340.78
23.4169999999999,338.44
23.5,336.95
23.5839999999998,337.08
23.6669999999999,338.58
23.75,339.88
23.8339999999998,340.96
23.9169999999999,341.73
24,342.82
24.0839999999998,343.97
24.1669999999999,344.63
24.25,343.79
24.3339999999998,342.32
24.4169999999999,340.09
24.5,338.28
24.5839999999998,338.29
24.6669999999999,339.6
24.75,340.9
24.8339999999998,341.68
24.9169999999999,342.9
25,343.33
25.0839999999998,345.25
25.1669999999999,346.03
25.25,345.63
25.3339999999998,344.19
25.4169999999999,342.27
25.5,340.35
25.5839999999998,340.38
25.6669999999999,341.59
25.75,343.05
25.8339999999998,344.1
25.9169999999999,344.79
26,345.52
26.1669999999999,347.63
26.25,346.97
26.3339999999998,345.53
26.4169999999999,343.55
26.5,341.4
26.5839999999998,341.67
26.6669999999999,343.1
26.75,344.7
26.8339999999998,345.21
26.9169999999999,346.16
27,347.74
27.0839999999998,348.33
27.1669999999999,349.06
27.25,348.38
27.3339999999998,346.72
27.4169999999999,345.02
27.5,343.27
27.5839999999998,343.13
27.6669999999999,344.49
27.75,345.88
27.8339999999998,346.56
27.9169999999999,347.28
28,348.01
28.0839999999998,349.77
28.1669999999999,350.38
28.25,349.93
28.3339999999998,348.16
28.4169999999999,346.08
28.5,345.22
28.5839999999998,344.51
28.6669999999999,345.93
28.75,347.22
28.8339999999998,348.52
28.9169999999999,348.73
29,349.73
29.0839999999998,351.31
29.1669999999999,352.09
29.25,351.53
29.3339999999998,350.11
29.4169999999999,348.08
29.5,346.52
29.5839999999998,346.59
29.6669999999999,347.96
29.75,349.16
29.8339999999998,350.39
29.9169999999999,351.64
30,352.41
30.0839999999998,353.69
30.1669999999999,354.21
30.25,353.72
30.3339999999998,352.69
30.4169999999999,350.4
30.5,348.92
30.5839999999998,349.13
30.6669999999999,350.2
30.75,351.41
30.8339999999998,352.91
30.9169999999999,353.27
31,353.96
31.0839999999998,355.64
31.1669999999999,355.86
31.25,355.37
